,neighborhood,section,city,latitude,longitude,venue_id,venue_name,venue_lat,venue_lon,venue_cat_id,venue_cat_name
0,ameerpet,Central,Hyderabad,17.4375012,78.4482505,4c0745492e80a5939d7275f9,Blue Fox,17.437054394233186,78.44591210514756,4bf58dd8d48988d10f941735,Indian Restaurant
1,ameerpet,Central,Hyderabad,17.4375012,78.4482505,4c20d4ac8082d13aae41f82a,Kakatiya Deluxe Mess,17.43343498288722,78.44709027868556,4bf58dd8d48988d147941735,Diner
2,ameerpet,Central,Hyderabad,17.4375012,78.4482505,4c1af37b63750f472039b467,Minerva Coffee Shop,17.43729470969034,78.44607353210449,4bf58dd8d48988d10f941735,Indian Restaurant
3,ameerpet,Central,Hyderabad,17.4375012,78.4482505,4d63dac5d6b26ea8fafc537a,Santosh Dhaba,17.439442049412662,78.44825947961927,4bf58dd8d48988d1d3941735,Vegetarian / Vegan Restaurant
4,ameerpet,Central,Hyderabad,17.4375012,78.4482505,556be4db498e90a4eb40ad48,Amoga Tiffin Center,17.43777106080051,78.44820951635691,52e81612bcbc57f1066b79f4,Buffet
5,ameerpet,Central,Hyderabad,17.4375012,78.4482505,4def9c1ec65bf3f03e9a5b05,Spencer's,17.437763578733712,78.44860367031929,4bf58dd8d48988d1f6941735,Department Store
6,ameerpet,Central,Hyderabad,17.4375012,78.4482505,4f5f559ee4b0a76b710309a1,eatworld,17.438239552693478,78.45008034631265,4bf58dd8d48988d16e941735,Fast Food Restaurant
7,ameerpet,Central,Hyderabad,17.4375012,78.4482505,4eb164ac5c5c80159ca218cd,Sher-e-Punjab Dhaba,17.438454224287543,78.4522620128154,4bf58dd8d48988d10f941735,Indian Restaurant
8,ameerpet,Central,Hyderabad,17.4375012,78.4482505,4bc7868a93bdeee15c7b37ae,Aditya Park Hotel,17.436139577219183,78.44644968362368,4bf58dd8d48988d1fa931735,Hotel
9,ameerpet,Central,Hyderabad,17.4375012,78.4482505,4c0728d80e0a2d7fea08ed0c,Subway,17.441700972844686,78.4469942295469,4bf58dd8d48988d1c5941735,Sandwich Place
10,ameerpet,Central,Hyderabad,17.4375012,78.4482505,4e05a83014959022c88b0558,Vellanki foods,17.43469925134848,78.44631644589016,4bf58dd8d48988d1c7941735,Snack Place
11,ameerpet,Central,Hyderabad,17.4375012,78.4482505,4f65b814e4b0656125f0e494,Walk 'n' Eat,17.441151715660492,78.4485592586811,4bf58dd8d48988d120951735,Food Court
12,ameerpet,Central,Hyderabad,17.4375012,78.4482505,4dfc1cbf227185f38b93e2a0,More Supermarket,17.436987995953196,78.45222870527961,52f2ab2ebcbc57f1066b8b46,Supermarket
